Name,Longitude,Latitude
Whyte Avenue,-113.5,53.52
Emerald Hills,-113.27,53.57
Mission Creek Plaza-Kelowna,-119.49,49.84
"Corner Stone Plaza- Hayden, ID",-116.79,47.74
Target Spokane T-2857,-117.37,47.6
Safeway-Seattle #423,-122.29,47.68
Safeway - Yakima #462,-120.52,46.6
QFC-Inglemore #838,-122.24,47.73
Governor's Market-Westbank,-119.62,49.84
Currents of Windermere,-113.61,53.44
St.Albert Chapters,-113.63,53.65
Carnation,-121.92,47.65
Safeway-Stony Plain #823,-113.98,53.54
Kensington,-114.09,51.05
Kingsway Mall,-113.51,53.56
Ellensburg Campus,-120.53,47
Western Washington University,-122.49,48.73
Haggen - Snohomish #3482,-122.1,47.93
Safeway-Calgary #2704,-113.96,50.93
Safeway - Calgary #287,-114.06,50.95
Haggen Stanwood #55,-122.33,48.24
Safeway Mission  - #142,-122.32,49.13
West Edmonton Mall Chapters,-113.63,53.52
QFC - Maple Valley/Wilderness Vlg #,-122.05,47.39
Dewdney & 227th - Maple Ridge,-122.59,49.22
Safeway - Hermiston #444,-119.29,45.83
Government Way & Neider,-116.79,47.71
Highway 99 & 200th - Lynnwood,-122.32,47.82
Overlake,-122.14,47.63
QFC - Mt. Lake Terrace #857,-122.29,47.79
Safeway - Wetaskiwin #862,-113.39,52.96
3 Bellevue Cntr,-122.2,47.62
128th St SW & 4th Ave W - Everett,-122.24,47.88
Murphys Corner/Frd Myr,-122.21,47.88
NE 4th Street and Union Ave NE,-122.16,47.49
Schweitzer Crossing,-116.55,48.31
1700 Canyon Rd,-120.54,46.98
Londonderry Mall,-113.45,53.6
Calgary House,-114.07,51.05
Zulily Headquarters,-122.35,47.61
Heritage Village,-117.41,47.74
Downtown Edmonds,-122.38,47.81
N. Greene & E. Augusta,-117.36,47.67
Seattle Municipal Building,-122.33,47.6
Safeway-North City #497,-122.31,47.75
130th & Aurora,-122.35,47.72
35th and 73rd-Wedgwood,-122.29,47.68
Leavenworth,-120.66,47.6
Safeway - Calgary #276,-114.01,50.98
Sodexo @ Gonzaga University Center,-117.4,47.67
196th & Hwy 99,-122.32,47.82
Revelstoke Trans Canada,-118.22,51.01
Albertsons 3411 @ Tacoma,-122.55,47.18
Safeway - Lynden #1930,-122.49,48.93
Secure Access SCH River,-122.28,47.66
Lakemont / Bellevue,-122.11,47.56
Safeway-Airdrie #281,-114.01,51.3
Safeway - Burien #1664,-122.34,47.47
University of Alberta - Cameron Lib,-113.53,53.52
Bankview,-114.1,51.03
Safeway-Lethbridge #299,-112.79,49.67
Wilderness Village,-122.05,47.39
Upper Windermere,-113.62,53.44
Safeway-Bonners Ferry #2954,-116.32,48.69
Iowa & King - Bellingham,-122.46,48.76
Safeway-Kirkland #1142,-122.17,47.68
132nd & Seattle Hill RD.-Snohmish,-122.17,47.88
Highlands Center,-119.16,46.21
Target Redmond T-995,-122.1,47.67
East Hills,-113.91,51.04
SEA SeaTac CT-26,-122.3,47.44
Bakerview-Bellingham,-122.51,48.79
4th & Seneca,-122.33,47.61
Fred Meyer-Kirkland #391,-122.18,47.71
Albertsons-Millcreek #458,-122.22,47.85
Safeway-Renton #519,-122.15,47.45
37th & Broadway,-122.2,47.97
Tulalip Outlet South,-122.19,48.09
Evergreen Way & 75th,-122.22,47.93
Safeway Vernon #24,-119.28,50.26
Safeway - Edmonton #2278,-113.51,53.45
Target Everett T-337,-122.23,47.91
Safeway - Edmonton #881,-113.58,53.54
Hampton Market,-113.67,53.49
QFC-Seattle/Broadway Mkt #887,-122.32,47.62
Harvey & Gordon-Kelowna,-119.48,49.88
Gateway South Chapters,-114.07,50.91
Factoria Boulevard,-122.17,47.58
228th & NE 4th - Sammamish,-122.04,47.61
505 Union Stn,-122.33,47.6
Shoreline - 20121 Aurora Ave N,-122.35,47.78
4 St & 23 Ave SW,-114.07,51.03
506 N. Sullivan,-117.2,47.66
YYC Calgary Central Hall FB,-114.01,51.13
Fairchild AFB,-117.65,47.64
Orchard Park Chapters,-119.44,49.88
The Grange,-113.68,53.51
HMS HOST @ YYC Departures Transbord,-114.01,51.13
Greentree Plaza,-122.23,47.91
Sundance,-114.06,50.9
Safeway-Juanita #2734,-122.21,47.72
Newport Village,-114.07,50.97
S. 1st Street & E. Nob Hill Blvd,-120.5,46.59
83rd Ave & Steilacoom Blvd,-122.55,47.18
Pike Street Roastery,-122.33,47.61
4400 32nd St - Vernon Square,-119.28,50.28
Galbreath Way & Weber,-118.37,47.12
Abbotsford Hospital - main lobby,-122.31,49.04
Sprague & Pine,-117.24,47.66
Sarcee Plaza 37St & 45Ave SW,-114.14,51.01
Safeway - Cochrane #2219,-114.48,51.19
Kingsland Plaza,-114.08,50.99
37th & Meridian/Puyallup,-122.29,47.16
Salish Plaza - Chilliwack,-121.95,49.17
Albertsons-Mukilteo #469,-122.28,47.88
Kent Kangley & Black Diamond Rd,-122.02,47.36
Leduc Crossroads,-113.55,53.27
Safeway-Wenatchee #1449,-120.32,47.43
Safeway-Marysville #1485,-122.18,48.06
Riverstone Marketplace - Vancouver,-122.48,45.6
Safeway - Spokane #342,-117.44,47.68
London Towne Square,-113.98,51.08
83rd & Aurora,-122.34,47.69
Houghton Plaza,-122.2,47.67
Fred Meyer-Kent #172,-122.21,47.39
McChord AFB BX,-122.49,47.13
Burlington Retail Center,-122.34,48.45
Albertsons - Milton #3113,-122.3,47.25
Teavana - Vancouver Mall WA,-122.58,45.66
Safeway - Bellingham #3285,-122.46,48.77
Albertsons-Kingston #186,-122.54,47.81
Safeway - Seattle #1143,-122.38,47.69
Target Northgate T-1284,-122.33,47.71
Target Missoula T-885,-114.04,46.89
Safeway-Spokane #3255,-117.4,47.67
Secure Access SCH Forest,-122.28,47.66
Safeway-Edmonton #877,-113.52,53.49
Swedish First Hill Lobby,-122.32,47.61
Fairwood,-122.15,47.45
Aurora Village,-122.34,47.78
Chinook Chapters,-114.07,51
Empire Building,-113.49,53.54
Southcentre,-114.06,50.95
Cottonwood Mall,-121.96,49.14
Cornerstone Southridge,-113.97,50.71
US Bank Centre,-122.34,47.61
Aramark @ University of Alberta,-113.52,53.52
Fred Meyer - Snohomish #681,-122.11,47.94
Downtown - Bellevue,-122.2,47.62
Albertsons-Battle Ground #592,-122.56,45.78
Safeway-Kirkland #526,-122.17,47.73
64th St NE & 47th Ave NE,-122.17,48.05
Kelsey Creek - Bellevue,-122.14,47.61
Deerfoot Meadows,-114.04,50.98
Alderwood Mall Kiosk,-122.27,47.83
Marda Loop,-114.11,51.02
QFC - Issaquah/Pine Lake #824,-122.03,47.58
Twin Lakes/Fred Meyer,-122.36,47.3
Pier 55,-122.34,47.6
Mill Creek Town Center,-122.22,47.86
Scotia Centre,-114.07,51.05
1101 Madison St,-122.32,47.61
High Street - Abbotsford,-122.38,49.06
Safeway-Bonney Lake #544,-122.15,47.17
YYC Calgary Term A,-114.01,51.13
Target Coeur d'Alene T-679,-116.79,47.73
7th & Westlake - Seattle,-122.34,47.62
George Washington Wy & McMurray,-119.28,46.3
2510 Reserve Street- Missoula,-114.04,46.85
SEA SeaTac Concourse B,-122.3,47.44
340th and Hoyt,-122.38,47.3
Puyallup,-122.29,47.15
Moses Lake,-119.25,47.1
QFC - Issaquah/Klahanie #840,-122,47.57
Cross Iron Indigo,-113.99,51.21
North Road 68 & Wrigley Dr,-119.19,46.27
Swedish Health Services-Issaquah Ca,-122.02,47.54
Millennium Ridge,-113.32,53.56
West Lethbridge Towne Centre,-112.89,49.69
Teavana - Southcenter Mall,-122.26,47.46
Secure Access Bellevue Childrens,-122.18,47.62
